question;A;B;C;D;answer;model_answer;is_correct
"4. Ceturtais jautājums attiecas uz sekojošo informāciju. Zemāk sniegtie fragmenti ir no 1651. gada Navigācijas likumiem. Pēc tūkstoš seši simti piecdesmit pirmā gada pirmās decembra un turpmāk nekādas preces vai izejvielas, kas iegūtas, ražotas vai ražotas Āzijā, Āfrikā vai Amerikā, vai jebkurā to daļā; vai jebkurās tām piederošās salās, vai kas ir aprakstītas vai norādītas šo vietu parastajās kartēs vai kartēs, kā arī Anglijas plantācijās, nedrīkst tikt importētas vai ievestas šajā Anglijas Sadraudzībā vai Īrijā, vai jebkurās citās šīs Sadraudzības zemēs, salās, plantācijās vai teritorijās, kas pieder vai ir to valdījumā, nevienā citā kuģī vai kuģos, laivā vai kuģos, bet tikai tādās, kas patiesi un bez krāpšanas pieder tikai šīs Sadraudzības iedzīvotājiem vai tās plantācijām kā to īpašniekiem vai tiesību īpašniekiem; un kuru kapteinis un jūrnieki arī ir šīs Sadraudzības iedzīvotāji, ar sodu par visu preču konfiskāciju un zaudēšanu, kas tiks importētas pretēji šim aktam. Nekuras preces vai izejvielas, kas iegūtas Eiropā vai jebkurā tās daļā, pēc tūkstoš seši simti piecdesmit pirmā gada pirmās decembra nedrīkst tikt importētas vai ievestas šajā Anglijas Sadraudzībā vai jebkurās citās šīs Sadraudzības zemēs vai teritorijās, kas pieder vai ir to valdījumā, nevienā kuģī vai kuģos, laivā vai kuģos, bet tādās, kas patiesi un bez krāpšanas pieder tikai šīs Sadraudzības iedzīvotājiem, un nekur citur, izņemot tikai tādus ārvalstu kuģus un kuģus, kas patiesi un pienācīgi pieder tās valsts vai vietas iedzīvotājiem, kuras izaugums, ražošana vai ražošana ir minētās preces. Kurš no tālāk minētajiem vislabāk raksturo 1651. gada Navigācijas aktu iznākumu?";Tie kalpoja kā katalizators Anglijas kuģniecības un ārvalstu tirdzniecības izaugsmei, taču maz ko darīja, lai ierobežotu holandiešu izredzes septiņpadsmitajā gadsimtā.;Tie gandrīz nekavējoties radīja grūtības holandiešu ekonomikai, jo viņu dominējošā loma ārvalstu tirdzniecībā ātri beidzās.;Tie tika atcelti Stjuartu restaurācijas laikā, kad viņi centās nodibināt normālas diplomātiskās attiecības ar holandiešiem, lai nebūtu nepieciešams parlamenta finansiālais atbalsts karam.;Tie noveda pie gandrīz gadsimtu ilga atkārtota kara starp Angliju un Nīderlandi, kas nebeigtos līdz Amerikas neatkarības iegūšanai.;A;A;TRUE
"5. Piektais jautājums attiecas uz sekojošo informāciju. Lai gan Karaļa Majestāte pamatoti un pamatoti ir un tai vajadzētu būt Anglijas Baznīcas augstākajai galvai, un šīs valsts garīdzniecība to atzīst savās sanāksmēs, tomēr, lai to apstiprinātu un nostiprinātu, kā arī lai vairotu tikumību Kristus reliģijā šajā Anglijas valstībā, un lai apspiestu un izskaustu visas kļūdas, ķecerības un citas negantības un ļaunprātīgu rīcību, kas līdz šim tajā izmantota, ar šī pašreizējā Parlamenta pilnvarojumu tiek noteikts, ka karalis, mūsu suverēns kungs, viņa mantinieki un pēcteči, šīs valsts karaļi, tiek iecelti, pieņemti un uzskatīti par vienīgo Anglijas Baznīcas augstāko galvu uz zemes, ko sauc par Anglikāņu Eklēziju; un viņam būs un tiks pievienots un apvienots ar šīs valsts imperatora kroni, kā arī tā tituls un stils, tāpat kā visi godi, cieņas, prioritātes, jurisdikcijas, privilēģijas, pilnvaras, imunitātes, peļņa un preces, kas saistītas ar minēto tās pašas Baznīcas augstākās galvas cieņu, kas pieder un..."" kas attiecas; un ka mūsu minētajam suverēnajam kungam, viņa mantiniekiem un pēctečiem, šīs valstības karaļiem, laiku pa laikam būs pilnīgas pilnvaras un tiesības apmeklēt, apspiest, labot, reģistrēt, izdot rīkojumu, labot, ierobežot un grozīt visas šādas kļūdas, ķecerības, ļaunprātīgu izmantošanu, pārkāpumus, nicinājumus un negantības, lai kādas tās arī būtu, kuras ar jebkāda veida garīgu autoritāti vai jurisdikciju būtu vai varētu likumīgi reformēt, apspiest, izdot rīkojumu, labot, labot, ierobežot vai grozīt, visvairāk Visvarenā Dieva labvēlībai, tikumības pieaugumam Kristus reliģijā un šīs valstības miera, vienotības un klusuma saglabāšanai; neatkarīgi no jebkādas paražas, svešas zemes, svešas varas, priekšrakstiem vai jebkā cita, kas ir pretrunā ar šo. (Anglijas Parlaments, Augstākās varas akts, 1534. Gads) No fragmenta var secināt, ka Anglijas Parlaments vēlējās apgalvot, ka Augstākās varas akts";piešķirtu Anglijas karalim jaunu varas amatu;iešķirtu Anglijas baznīcas vadītāja amatu tikai Henrijam VIII un izslēgtu viņa mantiniekus;nostiprināt kalvinismu kā vienīgo patieso teoloģiju Anglijā;izbeigt dažādas korupcijas formas, kas nomoka Anglijas baznīcu;D;D;TRUE
1. Kuri no tālāk minētajiem apgalvojumu pāriem ir patiesi:;Cilvēki mēdz būt optimistiski par savu nākotni un savas nācijas vai pasaules nākotni.;Cilvēki mēdz būt optimistiski par savu nākotni, bet pesimistiski par savas nācijas vai pasaules nākotni.;Cilvēki mēdz būt pesimistiski par savu nākotni, bet optimistiski par savas nācijas vai pasaules nākotni.;Cilvēki mēdz būt pesimistiski par savu nākotni un savas nācijas vai pasaules nākotni.;B;B;TRUE
2. Aptuveni cik procentu amerikāņu 2019. gadā piekrīt, ka valsts tiek pārvaldīta visu cilvēku labā?;31 %;46 %;61 %;76 %;B;B;TRUE
"3. Kopš 1990. gada, 2015. gadā, mežu Eiropā ir ____ un Āfrikā un Amerikā ir ____.""";"""palielinājies, palielinājies"",";"""palielinājies, samazinājies"",";"""samazinājies, palielinājies"",";"""samazinājies, samazinājies”.";B;B;TRUE
4. Aptuveni cik procentu krievu, sākot ar 2019. gadu, uzskata, ka ir ļoti svarīgi, lai valstī būtu brīvi plašsaziņas līdzekļi bez valdības/valsts cenzūras?;38%;53%;68%;83%;A;B;FALSE
5. Cik no pasaulē viena gada vecajiem bērniem 2017. gadā bija vakcinēti pret kādu slimību?;80%;60%;40%;20%;A;A;TRUE
1. Izvēlieties labāko tulkojumu predikātu loģikā: Neviens cilvēks nebrauc uz Marsa.;~Pd;(∀x)(Px ∨ ~Dx);(∀x)(Px ⊃ ~Dx);~Dp;C;C;TRUE
"2. Izvēlieties labāko tulkojumu predikātu loģikā. Džordžs aizņemas Hektora zāles pļāvēju (g: Džordžs; h: Hektors; l: Hektora zāles pļāvējs; Bxyx: x aizņemas y no z):";Blgh;Bhlg;Bglh;Bghl;C;C;TRUE
5. Kura no dotajām PL formulām vislabāk simbolizē sekojošo teikumu? Bruņurupuči dzīvo ilgu mūžu un ir laimīgas radības, ja vien tie netiek ievainoti.;(L • H) ≡ I;(L • H) ∨ I;L • (H ∨ I);L • (H ⊃ R);B;B;TRUE
"2. Termins ""budžeta deficīts"" attiecas uz";"federālo militāro izdevumu ikgadējo pieaugumu;";"valsts parāda procentu summu;";"starpību starp sākotnējiem budžeta priekšlikumiem, ko iesniedzis prezidents un Kongress;";summu, ko valdība iztērē, pārsniedzot savus ieņēmumus.;D;D;TRUE
3. Kura no tālāk minētajām lietām radīja precedentu, ka apsūdzētajam ir jābūt informētam par tiesībām klusēt, tiesībām uz advokātu un aizsardzību pret sevis liecināšanu?;"“Weeks” pret Amerikas Savienotajām Valstīm;";"“Betts” pret “Brady”;";"“Mapp” pret Ohaio;";Miranda pret Arizonu.;D;D;TRUE
4. Kurš no tālāk minētajiem apgalvojumiem par kabineta departamentiem ir aplam?;Tos izveido likumdošanas vara.;To locekļiem bieži vien nav lielas ietekmes uz prezidenta lēmumiem.;Tos visus nevar vadīt līderi, kas pieder tai pašai politiskajai partijai, kurai pieder prezidents.;Ne katra federālā aģentūra ir kabineta departaments.;C;C;TRUE
"5. Kurš no tālāk minētajiem vislabāk atspoguļo Džeimsa Medisona argumentu grāmatā ""Federālists Nr. 10”?";Godīgi politiķi var novērst frakciju veidošanos.;Frakcijas, visticamāk, rodas lielās republikās nekā mazās.;Frakcionālisma negatīvo ietekmi var mazināt republikāņu valdība.;Brīvas vēlēšanas ir tautas labākā aizsardzība pret frakcionālismu.;C;C;TRUE
1. ____ ir dabisks rezultāts, apvienojot demogrāfiskos un ģeogrāfiskos mainīgos.;"Ģeodemogrāfija;";"Produktu diferenciācija;";"ANSOFF matrica;";Zīmola vadība.;A;A;TRUE
2. Organizācijā cilvēku grupa, kurai uzdots pieņemt lēmumus par pirkšanu, tiek saukta par _______.;Ārpakalpojumu vienība.;Iepirkumu centrs.;Izpilddirektora vienība.;Lēmumu pieņemšanas vienība.;D;D;TRUE
3. Kurš no tālāk minētajiem ir pieņēmums Maslova vajadzību hierarhijā?;Vajadzības ir atkarīgas no kultūras un arī no sociālās klases.;Zemāka līmeņa vajadzībām ir jābūt vismaz daļēji apmierinātām, pirms augstāka līmeņa vajadzības var ietekmēt uzvedību.;Vajadzības netiek prioritizētas vai sakārtotas kādā noteiktā secībā.;Apmierinātās vajadzības ir motivatori, un jaunas vajadzības rodas, ja esošās vajadzības paliek neapmierinātas.;B;B;TRUE
4. Vienīgā sabiedrības grupa, kas ir visneaizsargātākā pret atsauces grupu ietekmi, ir:;"gados vecāki patērētāji, kuri jūtas zināmā mērā atstumti;";"precētas sievietes, no kurām daudzas jūt nepieciešamību pēc stabilitātes savā dzīvē;";"jaunie imigranti, kuri patiešām vēlas asimilēties savā jaunajā kultūrā;";bērni, kuri lielāko daļu savu pirkšanas lēmumu balsta uz ārēju ietekme.;D;D;TRUE
5. Lai gan saturu un kvalitāti var kontrolēt tikpat labi kā tiešo pastu, šī medija atbilžu sniegšanas rādītāji ir zemāki, jo trūkst personiskas uzrunas mehānisma. Šis mediju formāts ir pazīstams kā:;"klientu apkalpošanas līnijas;";"tiešais pasts;";"ieliktņi;";piegāde no durvīm līdz durvīm.;D;D;TRUE
1. Lielus tripletu atkārtojumu paplašinājumus var noteikt ar:;polimerāzes ķēdes reakciju,;vienpavedienu konformācijas polimorfisma analīzi,;Dienvidu blotēšana,;Rietumu blotēšana,;C;C;TRUE
3. Gēns, kam ir kodominance-;abas alēles heterozigotā ekspresējas neatkarīgi,;viena alēle ir dominējoša pār otru,;alēles ir cieši saistītas vienā hromosomā,;"alēles attīstības laikā ekspresējas vienlaicīgi;";A;A;TRUE
4. Kurš no tālāk minētajiem stāvokļiem neuzrāda daudzfaktoru iedzimtību?;"pilora stenose;";"šizofrēnija;";"spina bifida (nervālo cauruļu defekti);";Marfāna sindroms.;D;D;TRUE
1. Cik asis ir standarta automašīnai?;Viena;Divas;Četras;Astoņas.;B;B;TRUE
2. Kāda vieta ir nosaukta rokmūzikas leģendu grupas Cheap Trick 1979. gada koncertalbuma nosaukumā?;Budapešta;Budokana;Butāna;Lielbritānija;B;B;TRUE
"3. Kurš ir īsākais vīrietis, kurš jebkad ir uzvarējis NBA ""slam dunk"" konkursā?";"Entonijs ""Spads"" Vebs,";"Maikls ""Airs"" Džordans,";"Tairons ""Magsijs"" Bougss,";"Džūliuss ""Dr. Dž."" Ērvings.";A;A;TRUE
4. Kas rodas fotosintēzes laikā?;Ūdeņradis;Neilons;Skābeklis;Gaisma.;C;C;TRUE
5. Kura no šīm dziesmām bija rokgrupas The Police labāko 10 hitu sarakstā?;“Radio Ga-Ga”;“Ob-la-di Ob-la-da”;“De Do Do Do De Da Da Da”;“In-a-Gadda-Da-Vida”;C;C;TRUE
1. Lielais maiju karalis Pakāls Palenkes pilsētā uzcēla tempļus, lai:;"apmierinātu ietekmīgos maiju astronomu priesterus;";"izrādītu savu dāsnumu vienkāršajiem ļaudīm, jo ​​viņiem bija atļauts dzīvot tempļos;";"atbaidītu ienaidniekus, jo īpaši spāņusl;";leģitimizētu savu karaļvalsti, jo viņa tēvs nebija karalisks.;D;D;TRUE
2. Saskaņā ar Timotija Pauketa teikto, pierādījumi par sociālo stratifikāciju un politisko varu Kahokijā liecina:;"Misisipi civilizācijas centrs ar apstākļiem, kas līdzīgi agrīno štatu rašanās apstākļiem;";"Varas ierobežojumi indiāņu sabiedrībā, kurā dominēja egalitāri barības vācēji;";"Vienkārša vai varbūt sarežģīta vadoņa bija izveidojusies līdz 1500. gadam;";Misisipi civilizācijas centrs ar apstākļiem, kas līdzīgi sabiedrībām Ziemeļamerikas ziemeļrietumu krastā.;A;A;TRUE
3. Pētnieki tagad uzskata, ka maiju norietu galvenokārt izraisīja:;"kāda veida kataklizma, piemēram, zemestrīce, vulkāna izvirdums vai cunami;";"ekoloģiskā degradācija, kas radusies meža izciršanas un dedzināšanas lauksaimniecības metožu rezultātā;";"nebeidzami kari starp kaimiņos esošajām maiju pilsētvalstīm;";krustošanās prakse, kas izraisīja strauju iedzimtu slimību pieaugumu.;B;B;TRUE
4. Jaunākie pētījumi par hominīdu sugām, kas datējamas ar vidējo pliocēnu, liecina, ka 2020. gadā pastāvēja:;liela sugu daudzveidība vai viena suga, kas izrādīja lielu daudzveidību,;ļoti maza sugu daudzveidība šajā periodā un ļoti maz hominīdu,;samazināta sugu daudzveidība ilgstoša ledus laikmeta dēļ, kam sekoja spēcīgs sausums,;samazinājās sugu daudzveidība, bet palielinājās āmurkaula un pārslu skaits, kas norāda uz akmens instrumentu ražošanu;A;A;TRUE
5. Kāda ir aptuvenā vidējā Homo erectus galvaskausa tilpība?;mazāk par 650 cm3,;aptuveni 800 cm3,;nedaudz mazāk par 1000 cm3,;1200 cm3.;C;C;TRUE
1. Kas atšķir piespiedu diplomātiju no militārā spēka?;"Piespiedu diplomātija ir vēl viens termins piespiedu diplomātijai, bet aptver šaurāku kritēriju kopumu; piespiedu diplomātija aptver tos draudus, kuru mērķis ir uzsākt pretinieka darbības. Draudi piespiest valsti atdot daļu savas teritorijas tiktu uzskatīti par piespiedu diplomātiju, ja vien šie draudi proaktīvi ierosina darbību, pirms tiek uzsākta reaktīvā diplomātija.";Piespiedu diplomātija ietver ierobežota spēka draudus, lai rosinātu pretinieku pakļauties piespiedēja prasībām. Tā ir ietekmes stratēģija, kuras mērķis ir panākt atbilstību: spēka izmantošana, lai vispirms sakautu pretinieku, netiek skaitīta. Tā atstāj mērķa elementu izvēles ziņā - pakļauties vai turpināt.;Militārais spēks jeb militārā spēka draudi izmanto bailes, lai sasniegtu stratēģiskus mērķus. Piespiedu diplomātija atšķiras no šīs pieejas, jo tā neizmanto bailes kā instrumentu pretinieka piespiešanai.;Piespiedu diplomātija tiek izmantota, lai izmantotu spēku, bet ierobežotu tā ietekmi uz starptautisko sabiedrību. Piespiedu diplomātija ir agresīva stratēģija, kuras mērķis ir panākt atbilstību. caur sakāvi. Tas neatstāj mērķa grupai izvēles elementu, mērķim vai nu esot spiestam pakļauties, vai iesaistīties konfliktā. Tas cenšas kontrolēt, uzspiežot pakļaušanos, novēršot jebkādu iespēju sarunām vai piekāpšanās.;B;B;TRUE
2. Kurš no tālāk minētajiem ir labākais objektīvs, caur kuru izpētīt bērnu karavīru lomu?;Bērni karavīri ir kaujas upuri, kuriem nepieciešama pāraudzināšana un rehabilitācija.;Bērni un viņu mātes nav aktīvi karadarbības subjekti, un viņus vislabāk uzskatīt par privātās sfēras subjektiem.;Bērni karā visbiežāk ir nevainīgi garāmgājēji, un viņus vislabāk izmantot kā miera simbolus.;Bērniem piemīt politiska subjektivitāte, kas tiek palaista garām, ja viņus uzskata par pasīviem karadarbības upuriem.;D;A;FALSE
3. Lai kļūtu drošībniecisks, draudam ir jābūt attēlotam kādā no šiem veidiem?;Kā eksistenciālam draudam, kas prasa tūlītēju un ārkārtas rīcību, radot draudus valsts pastāvēšanai vai sabiedrības drošībai.;Kā tādam, kas prasa tūlītēju un ārkārtas rīcību no valsts puses, apdraudot atsauces objekta pastāvēšanu un tāpēc attaisnojot tādu pasākumu izmantošanu, kas parasti netiek izmantoti politiskajā sfērā.;Kā steidzamam draudam atsauces objekta pastāvēšanai, kas ir tik nopietns, ka tas leģitimizē ārkārtas rīcības izmantošanu atbildē.;Kā steidzamam draudam auditorijas pastāvēšanai, kas prasa ārkārtas vai neatliekamus pasākumus.;C;A;FALSE
