GBT-4o(vienkāršs): ;GBT-4o(sarežģīts):;Cloud3.5 Sonnet(vienkāršs);Cloud3.5 Sonnet(sarežģīts);DeepseeV3(vienkāršs);DeepseeV3(sarežģīts);Gemini2.0 Flash(vienkāršs);Gemini2.0 Flash(sarežģīts);Tēma
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Dažādi
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Dažādi
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Dažādi
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Aizvēsture
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Aizvēsture
FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Aizvēsture
FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;Aizvēsture
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Aizvēsture
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Drošības pētījumi.
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Drošības pētījumi.
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Drošības pētījumi.
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Drošības pētījumi.
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Drošības pētījumi.
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Virusoloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Virusoloģija
FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;Virusoloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Virusoloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Virusoloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Psiholiģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Psiholiģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Psiholiģija
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Psiholiģija
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Psiholiģija
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Pasaules reliģijas
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Pasaules reliģijas
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Pasaules reliģijas
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;Pasaules reliģijas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Pasaules reliģijas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;ASV ārpolitika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;ASV ārpolitika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;ASV ārpolitika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;ASV ārpolitika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;ASV ārpolitika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas datorzinātnes
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas datorzinātnes
FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;Vidusskolas datorzinātnes
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas datorzinātnes
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas datorzinātnes
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas datorzinātnes
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātnes
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātnes
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātnes
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātnes
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģija
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Klīniskās zināšanas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Klīniskās zināšanas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Klīniskās zināšanas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Klīniskās zināšanas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Klīniskās zināšanas
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Biznesa ētika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Biznesa ētika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Biznesa ētika
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Biznesa ētika
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Biznesa ētika
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Astronomija
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Astronomija
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Astronomija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Astronomija
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Astronomija
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Sabiedriskās attiecībās
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Sabiedriskās attiecībās
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Sabiedriskās attiecībās
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Sabiedriskās attiecībās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Sabiedriskās attiecībās
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;Profesionāla grāmatvedība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Profesionāla grāmatvedība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Profesionāla grāmatvedība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Profesionāla grāmatvedība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Profesionāla grāmatvedība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Uzturs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Uzturs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Uzturs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Uzturs
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;Uzturs
TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;Starptautiskās tiesības
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;Starptautiskās tiesības
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautiskās tiesības
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautiskās tiesības
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautiskās tiesības
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Jurisprudenci
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Jurisprudenci
TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;Jurisprudenci
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Jurisprudenci
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;Jurisprudenci
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Morāli scenāriji
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Morāli scenāriji
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Vidusskolas statistika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Koledžas bioloģijas tests
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Koledžas bioloģijas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Koledžas bioloģijas tests
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Cilvēka seksualitāte
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;Cilvēka seksualitāte
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;Starptautisko tiesību pārbaude
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Starptautisko tiesību pārbaude
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas statistikas tests
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Vidusskolas pasaules vēstures pārbaudes darbs
